Author,Title,Date finished
Lyn Andrews,Across A Summer Sea,2.1.16
Liane Moriarty ,Big Little Lies,9.1.16
Jojo Moyes,The Last Letter From Your Lover,20.1.16
Angela Carter,The Magic Toyshop,27.1.16
Lucy Christopher ,Stolen,4.2.16
Sophie Kinsella ,Wedding Night,16.2.16
Liane Moriarty ,The Husband's Secret,29.2.16
Rose Tremain ,Restoration ,5.3.16
Clare Mackintosh,I Let You Go,11.3.16
Liane Moriarty ,What Alice Forgot,19.3.16
Jodi Picoult,Vanishing Acts,28.3.16
Ruth Hamilton,The Reading Room,3.4.16
Gervase Phinn ,All Our Yesterdays,10.4.16
Pai Kit Fai ,Red Lotus,21.4.16
Marc Levy,If Only It Were True,24.4.16
Dee Williams ,A Moment To Remember ,29.4.16
John Green,Looking For Alaska ,9.5.16
Liane Moriarty ,The Last Anniversary ,20.5.16
Danielle Steel,Malice,28.5.16
Rosie Thomas ,Every Woman Knows A Secret,3.6.16
Mohsin Hamid ,The Reluctant Fundamentalist ,11.6.16
Lesley Pearse,Georgia ,21.6.16
Danny Scheinmann ,Random Acts Of Heroic Love ,5.7.16
Jodi Picoult ,The Storyteller,17.7.16
Giovanna Fletcher ,You're The One That I Want,21.7.16
Giovanna Fletcher ,Dream A Little Dream ,2.8.16
Nadine Dorries,The Four Streets,16.8.16
Nadine Dorries,Hide Her Name ,23.8.16
Nadine Dorries,The Ballymara Road ,28.8.16
Monica Ali ,Untold Story ,6.9.16
Martina Reilly,The Wish List ,15.9.16
Sarah Turner ,The Unmumsy Mum,18.9.16
Lauren Weisberger ,Last Night At Chateau Marmont,22.9.16
Elvi Rhodes,Mixed Blessings ,2.10.16
Maya Angelou ,I Know Why The Caged Bird Sings ,14.10.16
Maya Angelou,Gather Together In My Name ,22.10.16
Santa Montefiore ,Secrets Of The Lighthouse ,28.10.16
Maya Angelou ,Singin' And Swingin' And Gettin' Merry Like Christmas ,5.11.16
Wendy Wallace,The Painted Bridge,16.11.16
Maya Angelou ,The Heart Of A Woman ,24.11.16
Maya Angelou,All God's Children Need Travelling Shoes,5.12.16
Maya Angelou,A Song Flung Up To Heaven ,11.12.16